date,artist,song,pos,pos_prev,pos_peak,weeks
1991-03-30,Bette Midler,From A Distance,98,76,2,26
1991-09-28,Jesus Jones,"Right Here, Right Now",98,83,2,25
1991-02-09,Alias,More Than Words Can Say,94,77,2,23
1991-09-07,Color Me Badd,"I Wanna Sex You Up (From ""New Jack City"")",99,85,2,23
1991-12-28,Natural Selection,Do Anything,27,27,2,21
1991-07-13,Cathy Dennis,Touch Me (All Night Long),85,72,2,20
1991-10-12,Lenny Kravitz,It Ain't Over 'til It's Over,91,71,2,19
1991-10-19,Amy Grant,Every Heartbeat,96,70,2,19
1991-01-26,M.C. Hammer,Pray,98,81,2,18
1991-10-12,Roxette,Fading Like A Flower (Every Time You Leave),84,61,2,18
1991-09-21,Rhythm Syndicate,P.A.S.S.I.O.N.,82,58,2,17
1991-12-28,Bryan Adams,Can't Stop This Thing We Started,21,21,2,16
1991-12-28,Boyz II Men,It's So Hard To Say Goodbye To Yesterday,2,2,2,15
1991-04-06,Damn Yankees,High Enough,94,68,3,29
1991-11-23,Boyz II Men,Motownphilly,79,62,3,24
1991-05-11,Styx,Show Me The Way,94,82,3,23
1991-05-25,Tracie Spencer,This House,93,79,3,23
1991-06-15,Tara Kemp,Hold You Tight,94,69,3,22
1991-07-13,C+C Music Factory/F. Williams,Here We Go,84,67,3,20
1991-12-28,Color Me Badd,All 4 Love,3,3,3,8
1991-11-16,Scorpions,Wind Of Change,86,67,4,25
1991-05-18,Celine Dion,Where Does My Heart Beat Now,87,79,4,24
1991-02-16,Deee-Lite,Groove Is In The Heart,100,85,4,23
1991-01-12,Pebbles,Giving You The Benefit,94,87,4,22
1991-02-23,Poison,Something To Believe In,95,81,4,21
1991-08-24,R.E.M.,Losing My Religion,99,81,4,21
1991-02-23,Wilson Phillips,Impulsive,88,66,4,20
1991-03-16,Ralph Tresvant,Sensitivity,94,63,4,20
1991-12-14,Extreme,Hole Hearted,27,24,4,20
1991-12-28,Jesus Jones,Real Real Real,84,84,4,19
1991-07-06,Divinyls,I Touch Myself,94,70,4,18
1991-08-24,Luther Vandross,Power Of Love/Love Power,92,72,4,18
1991-10-12,D.J. Jazzy Jeff & The Fresh Prince,Summertime,97,77,4,18
1991-03-30,Vanilla Ice,Play That Funky Music,100,78,4,17
1991-08-10,Michael Bolton,Love Is A Wonderful Thing,98,85,4,17
1991-11-02,C+C Music Factory,Things That Make You Go Hmmmm. . .,100,68,4,16
1991-05-18,Oleta Adams,Get Here,100,84,5,23
1991-11-23,Firehouse,Love Of A Lifetime,51,39,5,22
1991-02-23,DNA Featuring Suzanne Vega,Tom's Diner,100,76,5,21
1991-11-30,Bonnie Raitt,Something To Talk About,32,49,5,20
1991-10-26,The KLF,3 A.M. Eternal,83,71,5,19
1991-06-08,Enigma,Sadeness Part 1,99,81,5,18
1991-07-13,Rod Stewart,Rhythm Of My Heart,98,68,5,18
1991-04-27,Sting,All This Time,99,79,5,15
1991-01-12,After 7,Can't Stop,86,84,6,25
1991-03-02,UB40,The Way You Do The Things You Do,85,72,6,25
1991-05-11,Chris Isaak,Wicked Game,93,73,6,24
1991-03-30,Nelson,After The Rain,90,74,6,22
1991-09-21,Michael W. Smith,Place In This World,91,79,6,21
1991-10-05,Corina,Temptation,92,74,6,21
1991-12-28,Naughty By Nature,O.P.P.,15,15,6,17
1991-12-28,Roberta Flack With Maxi Priest,Set The Night To Music,23,23,6,15
1991-12-28,Paula Abdul,Blowing Kisses In The Wind,7,7,6,11
1991-12-28,Mariah Carey,Can't Let Go,6,6,6,7
1991-09-07,UB40,Here I Am (Come And Take Me),94,78,7,25
1991-04-13,Keith Sweat,I'll Give All My Love To You,92,76,7,20
1991-06-29,Rick Astley,Cry For Help,96,69,7,20
1991-10-26,Seal,Crazy,91,76,7,19
1991-03-16,Will To Power,I'm Not In Love,90,69,7,18
1991-06-01,Gerardo,Rico Suave,97,75,7,18
1991-09-07,Tara Kemp,Piece Of My Heart,98,68,7,18
1991-11-09,Michael Bolton,"Time, Love And Tenderness",100,72,7,18
1991-12-28,Amy Grant,That's What Love Is For,11,11,7,14
1991-11-09,The Escape Club,I'll Be There,90,71,8,25
1991-06-01,Tesla,Signs,94,64,8,22
1991-11-09,Hi-Five,I Can't Wait Another Minute,98,75,8,21
1991-04-06,INXS,Disappear,97,81,8,20
1992-10-17,Sir Mix-A-Lot,Baby Got Back,41,32,1,28
1992-08-01,Vanessa Williams,Save The Best For Last,47,43,1,27
1992-12-26,Boyz II Men,"End Of The Road (From ""Boomerang"")",21,17,1,24
1992-08-22,Kris Kross,Jump,46,42,1,21
1992-10-10,Mariah Carey,I'll Be There,90,75,1,20
1992-11-14,Madonna,This Used To Be My Playground,88,73,1,20
1992-12-26,The Heights,How Do You Talk To An Angel,9,6,1,13
1992-12-26,Whitney Houston,I Will Always Love You,1,1,1,7
1992-07-11,Queen,Bohemian Rhapsody,47,43,2,41
1992-10-10,En Vogue,My Lovin' (You're Never Gonna Get It),46,49,2,30
1992-12-26,TLC,Baby-Baby-Baby,44,42,2,30
1992-08-01,Eric Clapton,Tears In Heaven,46,44,2,26
1992-09-26,Red Hot Chili Peppers,Under The Bridge,44,36,2,26
1992-12-26,Patty Smyth,Sometimes Love Just Ain't Enough,30,24,2,20
1992-12-26,Wreckx-N-Effect,Rump Shaker,2,3,2,13
1992-12-26,Shai,If I Ever Fall In Love,3,2,2,11
1992-12-26,House Of Pain,Jump Around,32,28,3,27
1992-06-06,Michael Jackson,Remember The Time,52,49,3,20
1992-06-13,Atlantic Starr,Masterpiece,42,39,3,20
1992-11-07,Guns N' Roses,November Rain,40,35,3,20
1992-12-19,Bobby Brown,Humpin' Around,44,43,3,20
1992-12-26,P.M. Dawn,"I'd Die Without You (From ""Boomerang"")",5,5,3,16
1992-12-26,Madonna,Erotica,59,48,3,11
1992-10-10,Queen,We Are The Champions,99,90,4,41
1992-10-24,Billy Ray Cyrus,Achy Breaky Heart,44,35,4,25
1992-09-19,Celine Dion,If You Asked Me To,49,40,4,22
1992-08-01,Joe Public,Live And Learn,43,37,4,21
1992-11-14,Shakespear's Sister,Stay,61,48,4,20
1992-12-26,Boyz II Men,"In The Still Of The Nite (From ""The Jacksons"")",4,4,4,5
1992-12-26,Jon Secada,Just Another Day,48,45,5,37
1992-09-05,Sophie B. Hawkins,Damn I Wish I Was Your Lover,48,45,5,21
1992-07-04,Mariah Carey,Make It Happen,55,50,5,20
1992-12-12,Hi-Five,She's Playing Hard To Get,47,45,5,20
1992-11-07,Tom Cochrane,Life Is A Highway,49,46,6,26
1992-12-12,K.W.S.,Please Don't Go,50,50,6,26
1992-06-13,Mint Condition,Breakin' My Heart (Pretty Brown Eyes),47,42,6,24
1992-11-14,En Vogue,Giving Him Something He Can Feel,45,42,6,24
1992-11-14,Technotronic Featuring Ya Kid K,Move This,49,43,6,23
1992-07-18,TLC,Ain't 2 Proud 2 Beg,48,39,6,22
1992-09-05,Arrested Development,Tennessee,49,46,6,22
1992-09-05,Michael Jackson,In The Closet,100,90,6,20
1992-12-26,Snap!,Rhythm Is A Dancer,6,7,6,20
1992-06-13,Genesis,I Can't Dance,54,46,7,20
1992-12-26,Mary J. Blige,Real Love,10,9,7,18
1992-12-26,TLC,What About Your Friends,11,10,7,17
1992-12-26,Bobby Brown,Good Enough,7,8,7,11
1992-05-30,Amy Grant,Good For Me,50,48,8,20
1992-12-26,Arrested Development,People Everyday,36,34,8,20
1992-12-26,Firehouse,When I Look Into Your Eyes,71,66,8,20
1992-12-26,En Vogue,Free Your Mind,40,33,8,16
1992-12-26,Shanice,"Saving Forever For You (From ""Beverly Hills, 90210"")",8,12,8,10
1992-11-21,Elton John,The One,46,42,9,22
1992-05-30,Celine Dion And Peabo Bryson,Beauty And The Beast,47,38,9,20
1992-06-27,Richard Marx,Hazard,48,36,9,20
1992-08-15,Ugly Kid Joe,Everything About You,96,76,9,20
1992-10-10,The Cover Girls,Wishing On A Star,77,70,9,20
1992-07-25,U2,One,54,51,10,20
1992-10-10,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,The Best Things In Life Are Free,41,43,10,20
1992-10-24,George Michael,Too Funky,93,85,10,20
1992-10-10,Jodeci,Come & Talk To Me,37,37,11,28
1992-12-12,Bryan Adams,Do I Have To Say The Words?,57,49,11,20
1992-05-30,The KLF Featuring Tammy Wynette,Justified And Ancient,95,79,11,18
1992-12-26,Michael Bolton,To Love Somebody,12,11,11,11
1992-06-06,Michael Bolton,Missing You Now,87,88,12,20
1992-09-12,Genesis,Hold On My Heart,54,56,12,20
1992-12-26,Def Leppard,Have You Ever Needed Someone So Bad,51,50,12,19
1992-12-26,Saigon Kick,Love Is On The Way,14,15,12,17
1992-12-26,Eric Clapton,Layla,16,14,12,13
1992-07-25,Bryan Adams,Thought I'd Died And Gone To Heaven,55,55,13,20
1992-10-17,Kris Kross,Warm It Up,67,64,13,20
1992-12-26,Charles & Eddie,Would I Lie To You?,27,25,13,19
1992-12-26,Jon Secada,Do You Believe In Us,15,13,13,14
1992-12-26,Madonna,Deeper And Deeper,13,16,13,4
1992-07-04,Kathy Troccoli,Everything Changes,74,61,14,20
1992-12-26,Annie Lennox,Walking On Broken Glass,20,19,14,17
1992-12-12,Toad The Wet Sprocket,All I Want,46,44,15,25
1992-10-10,CeCe Peniston,Keep On Walkin',43,41,15,21
1992-08-08,Def Leppard,Let's Get Rocked,93,85,15,18
1992-12-26,Color Me Badd,"Forever Love (From ""Mo' Money"")",64,61,15,14
1992-11-28,Jade,"I Wanna Love You (From ""Class Act"")",49,42,16,21
1992-06-13,Color Me Badd,Thinkin' Back,95,83,16,20
1992-08-22,Mr. Big,Just Take My Heart,66,58,16,20
1992-07-04,Bruce Springsteen,Human Touch/Better Days,91,87,16,16
1992-04-18,Paula Abdul,Vibeology,92,85,16,14
1992-05-16,NKOTB,If You Go Away,94,78,16,13
1992-12-26,Spin Doctors,Little Miss Can't Be Wrong,17,18,17,11
1992-09-19,Color Me Badd,Slow Motion,78,72,18,20
1992-10-24,The Cure,Friday I'm In Love,81,69,18,20
1992-12-26,Restless Heart,When She Cries,18,21,18,7
1992-06-27,Jody Watley,I'm The One You Need,89,72,19,17
1992-06-27,Paula Abdul,Will You Marry Me?,96,70,19,13
1992-12-26,Trey Lorenz,Someone To Hold,47,39,19,13
1992-12-26,Go West,Faithful,19,22,19,8
1992-06-13,CeCe Peniston,We Got A Love Thang,79,67,20,20
1992-09-05,Amy Grant,I Will Remember You,64,56,20,20
1992-10-24,Richard Marx,Take This Heart,58,58,20,20
1992-08-22,Wilson Phillips,You Won't See Me Cry,99,84,20,16
1992-12-26,Damn Yankees,Where You Goin' Now,23,20,20,12
1992-09-12,Lionel Richie,Do It To Me,97,88,21,20
1992-05-16,M.C. Brains,Oochie Coochie,98,71,21,18
1993-11-27,UB40,"Can't Help Falling In Love (From ""Sliver"")",49,45,1,29
1993-10-16,SWV,Weak,46,46,1,26
1993-06-26,Snow,Informer,52,41,1,25
1993-07-31,Silk,Freak Me,47,34,1,24
1993-10-02,Janet Jackson,That's The Way Love Goes,47,42,1,23
1993-12-25,Mariah Carey,Dreamlover,26,19,1,21
1993-12-25,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),4,4,1,15
1993-12-25,Mariah Carey,Hero,1,3,1,10
1993-12-25,Janet Jackson,Again,2,1,1,10
1993-12-25,Tag Team,Whoomp! (There It Is),13,14,2,31
1993-07-31,Dr. Dre,"Nuthin' But A ""G"" Thang",44,40,2,27
1993-12-11,SWV,Right Here (Human Nature)/Downtown,50,39,2,22
1993-12-25,Ace Of Base,All That She Wants,3,2,2,15
1993-12-25,Xscape,Just Kickin' It,14,11,2,15
1993-07-31,Vanessa Williams/Brian McKnight,"Love Is (From ""Beverly Hills, 90210"")",43,36,3,28
1993-09-25,H-Town,Knockin' Da Boots,46,42,3,25
1993-06-05,Duran Duran,Ordinary World,49,43,3,22
1993-12-25,Billy Joel,The River Of Dreams,38,32,3,22
1993-10-23,The Proclaimers,I'm Gonna Be (500 Miles),49,42,3,20
1993-11-20,Jodeci,Lately,50,37,4,24
1993-06-12,Whitney Houston,"I'm Every Woman (From ""The Bodyguard"")",45,44,4,23
1993-12-25,Janet Jackson,If,43,40,4,23
1993-07-10,Whitney Houston,I Have Nothing,53,51,4,20
1993-10-09,Onyx,Slam,62,60,4,20
1993-12-25,Salt-N-Pepa,Shoop,7,5,4,12
1993-12-25,DRS,Gangsta Lean,6,6,4,11
1993-10-09,Robin S.,Show Me Love,43,43,5,28
1993-12-04,Soul Asylum,Runaway Train,49,41,5,26
1993-09-18,Rod Stewart,Have I Told You Lately,45,42,5,22
1993-12-25,Bryan Adams/Rod Stewart/Sting,All For Love,5,7,5,5
1993-08-07,SWV,I'm So Into You,46,42,6,27
1993-08-07,P.M. Dawn,Looking Through Patient Eyes,48,39,6,21
1993-06-26,Ugly Kid Joe,Cat's In The Cradle,70,57,6,20
1993-12-25,Zhane,Hey Mr. D.J.,17,16,6,18
1993-08-14,Spin Doctors,Two Princes,49,43,7,29
1993-12-25,Toni Braxton,Another Sad Love Song,48,41,7,26
1993-10-02,Duran Duran,Come Undone,49,49,7,25
1993-10-30,Tony Toni Tone,If I Had No Loot,49,45,7,21
1993-11-27,Michael Jackson,Will You Be There,60,53,7,20
1993-12-25,Bryan Adams,Please Forgive Me,11,9,7,10
1993-10-09,Expose,I'll Never Get Over You (Getting Over Me),47,40,8,29
1993-06-26,Naughty By Nature,Hip Hop Hooray,43,36,8,22
1993-09-11,Inner Circle,"Bad Boys (Theme From ""Cops"")",93,78,8,20
1993-09-25,Dr. Dre,Dre Day,47,44,8,20
1993-12-25,Toni Braxton,Breathe Again,8,8,8,11
1993-11-06,Tina Turner,"I Don't Wanna Fight (From ""What's Love Got To Do With It"")",45,41,9,24
1993-12-25,Snoop Dogg,What's My Name?,9,15,9,4
1993-11-20,Shai,Baby I'm Yours,47,33,10,25
1993-07-03,Shai,Comforter,50,40,10,24
1993-06-05,Bon Jovi,Bed Of Roses,60,49,10,20
1993-12-25,Tony Toni Tone,Anniversary,36,30,10,14
1993-12-25,Tevin Campbell,Can We Talk,12,12,10,11
1993-12-25,Michael Bolton,Said I Loved You...But I Lied,10,10,10,8
1993-10-16,95 South,"Whoot, There It Is",48,45,11,25
1993-12-18,2Pac,I Get Around,50,46,11,25
1993-12-25,Haddaway,What Is Love,22,17,11,18
1993-10-09,Duice,Dazzey Duks,50,38,12,40
1993-12-25,Aerosmith,Cryin',35,43,12,22
1993-12-25,Def Leppard,"Two Steps Behind (From ""Last Action Hero"")",50,45,12,16
1993-06-12,Baltimora,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",95,93,13,38
1993-11-06,Brian McKnight,One Last Cry,47,39,13,22
1993-12-18,Jazzy Jeff & The Fresh Prince,Boom! Shake The Room,97,89,13,20
1993-12-25,2Pac,Keep Ya Head Up,15,13,13,9
1993-10-16,4 Non Blondes,What's Up?,50,41,14,26
1993-12-04,Madonna,Rain,75,72,14,20
1993-08-07,Michael Jackson,Who Is It,99,91,14,18
1993-05-01,Bobby Brown,Get Away,86,73,14,16
1993-05-29,Digable Planets,Rebirth Of Slick (Cool Like Dat),90,81,15,20
1993-07-17,Ice Cube,It Was A Good Day,48,44,15,20
1993-07-03,Boy George,"The Crying Game (From ""The Crying Game"")",94,80,15,17
1993-12-25,Inner Circle,Sweat (A La La La La Long),40,33,16,21
1993-12-25,The Cranberries,Linger,16,18,16,10
1993-07-03,Sting,If I Ever Lose My Faith In You,79,79,17,20
1993-08-07,Green Jelly,Three Little Pigs,65,62,17,20
1993-09-11,Captain Hollywood Project,More And More,65,60,17,20
1993-06-26,Jon Secada,Angel,37,37,18,22
1993-06-05,Boy Krazy,That's What Love Can Do,41,40,18,20
1993-08-21,Aerosmith,Livin' On The Edge,85,82,18,20
1993-12-25,K7,Come Baby Come,25,22,18,17
1993-12-25,"10,000 Maniacs",Because The Night,18,23,18,8
1993-07-17,Joey Lawrence,Nothin' My Love Can't Fix,82,69,19,20
1993-11-20,Cypress Hill,Insane In The Brain,72,56,19,20
1993-12-25,Rod Stewart,Reason To Believe,52,51,19,20
1993-12-04,Kris Kross Featuring Supercat,Alright,99,99,19,19
1993-09-04,Snow,"Girl, I've Been Hurt",99,84,19,17
1993-12-25,Domino,Getto Jam,19,36,19,5
1993-08-07,Stereo MC's,Connected,80,71,20,20
1993-10-16,Taylor Dayne,Can't Get Enough Of Your Love,97,86,20,20
1993-12-11,Ice Cube Featuring Das EFX,Check Yo Self,87,87,20,20
1993-12-25,Blind Melon,No Rain,41,38,20,19
1993-12-25,R. Kelly,Sex Me (Parts I & II),27,24,20,9
1993-12-25,Culture Beat,Mr. Vain,20,20,20,8
1993-07-10,Run-D.M.C.,Down With The King,82,72,21,17
1993-12-25,Babyface,Never Keeping Secrets,21,21,21,10
1993-10-16,Jade,One Woman,67,63,22,20
1993-12-25,Red Hot Chili Peppers,"Soul To Squeeze (From ""Coneheads"")",61,60,22,18
1993-10-16,Sting,Fields Of Gold,55,55,23,20
1993-11-27,Celine Dion And Clive Griffin,"When I Fall In Love (From ""Sleepless In Seattle"")",74,73,23,20
1993-12-25,Color Me Badd,Time And Chance,31,27,23,9
1993-12-25,Jodeci,Cry For You,23,25,23,5
1994-10-08,Ace Of Base,The Sign,50,47,1,41
1994-11-12,All-4-One,I Swear,50,47,1,30
1994-11-26,Lisa Loeb & Nine Stories,"Stay (I Missed You) (From ""Reality Bites"")",50,48,1,30
1994-07-23,R. Kelly,Bump N' Grind,38,40,1,25
1994-12-31,Boyz II Men,I'll Make Love To You,7,6,1,21
1994-12-31,Ini Kamoze,"Here Comes The Hotstepper (From ""Ready To Wear"")",2,1,1,16
1994-12-31,Boyz II Men,On Bended Knee,1,2,1,7
1994-09-24,Madonna,"I'll Remember (From ""With Honors"")",50,45,2,26
1994-12-31,Sheryl Crow,All I Wanna Do,17,12,2,22
1994-09-03,Warren G & Nate Dogg,"Regulate (From ""Above The Rim"")",32,19,2,20
1994-10-08,Janet Jackson,"Any Time, Any Place/And On And On",55,40,2,20
1994-12-31,Luther Vandross & Mariah Carey,Endless Love,70,66,2,17
1994-12-31,John Mellencamp With Me'Shell Ndegeocello,Wild Night,37,29,3,32
1994-08-06,Salt-N-Pepa Featuring En Vogue,Whatta Man,47,46,3,29
1994-08-27,Prince,The Most Beautiful Girl In The World,49,45,3,26
1994-11-19,Coolio,Fantastic Voyage,49,38,3,25
1994-07-02,Mariah Carey,Without You/Never Forget You,46,39,3,23
1994-12-17,Changing Faces,Stroke You Up,49,45,3,21
1994-12-31,Real McCoy,Another Night,3,3,3,19
1994-12-31,Madonna,Secret,12,9,3,13
1994-12-03,Ace Of Base,Don't Turn Around,50,47,4,31
1994-12-31,Babyface,When Can I See You,36,33,4,29
1994-08-27,Enigma,Return To Innocence,48,46,4,26
1994-11-12,Elton John,"Can You Feel The Love Tonight (From ""The Lion King"")",48,39,4,26
1994-07-09,Crash Test Dummies,Mmm Mmm Mmm Mmm,44,38,4,24
1994-12-31,Bon Jovi,Always,5,4,4,14
1994-12-31,TLC,Creep,4,5,4,8
1994-10-08,Aaliyah,Back & Forth,49,46,5,24
1994-12-31,Immature,Never Lie,30,22,5,23
1994-05-28,All-4-One,So Much In Love,39,25,5,22
1994-09-03,Big Mountain,"Baby I Love Your Way (From ""Reality Bites"")",48,34,6,28
1994-10-15,Da Brat,Funkdafied,51,40,6,20
1994-12-31,Aaliyah,At Your Best (You Are Love),67,64,6,18
1994-12-31,Brandy,I Wanna Be Down,6,7,6,14
1994-10-29,Toni Braxton,You Mean The World To Me,47,40,7,31
1994-07-23,Richard Marx,Now And Forever,48,46,7,27
1994-06-11,Snoop Doggy Dogg,Gin And Juice,58,45,8,20
1994-12-31,BLACKstreet,Before I Let You Go,8,10,8,11
1994-12-31,Janet Jackson,You Want This/70's Love Groove,11,8,8,11
1994-12-31,69 Boyz,Tootsee Roll,9,13,9,26
1994-08-06,Tevin Campbell,I'm Ready,49,42,9,22
1994-12-31,Craig Mack,Flava In Ya Ear,35,32,9,21
1994-07-02,Bruce Springsteen,"Streets Of Philadelphia (From ""Philadelphia"")",66,58,9,20
1994-12-03,Warren G,This D.J.,74,69,9,20
1994-12-03,Jon Secada,If You Go,48,49,10,31
1994-07-09,Beck,Loser,46,37,10,24
1994-12-31,Melissa Etheridge,I'm The Only One,10,11,10,22
1994-06-11,Janet Jackson,Because Of Love,62,54,10,20
1994-12-31,Crystal Waters,100% Pure Love,21,19,11,32
1994-11-19,Collective Soul,Shine,50,47,11,29
1994-10-15,Mariah Carey,Anytime You Need A Friend,49,52,12,21
1994-06-11,Meat Loaf,Rock And Roll Dreams Come Through,92,82,13,20
1994-09-24,R. Kelly,Your Body's Callin',67,56,13,20
1994-12-31,4PM,Sukiyaki,13,14,13,16
1994-12-31,Gloria Estefan,"Turn The Beat Around (From ""The Specialist"")",18,15,13,15
1994-10-15,Aaron Hall,I Miss You,50,48,14,23
1994-12-31,The 4 Seasons,"December 1963 (Oh, What A Night)",26,24,14,21
1994-12-31,Madonna,Take A Bow,14,18,14,3
1994-07-16,Tim McGraw,Indian Outlaw,99,93,15,20
1994-12-31,20 Fingers Featuring Gillette,Short Dick Man,15,17,15,17
1994-12-31,Pretenders,I'll Stand By You,20,21,16,21
1994-12-31,Des'ree,You Gotta Be,16,16,16,18
1994-10-22,Aerosmith,Crazy,50,48,17,23
1994-05-28,Zhane,Groove Thang,74,64,17,20
1994-10-01,Tim McGraw,Don't Take The Girl,88,79,17,20
1994-08-20,SWV,"Anything (From ""Above The Rim"")",58,46,18,20
1994-12-24,Amy Grant,Lucky One,60,61,18,20
1994-12-31,Candlebox,Far Behind,50,46,18,19
1994-12-31,Elton John,"Circle Of Life (From ""The Lion King"")",55,48,18,19
1994-12-31,Barry White,Practice What You Preach,19,20,18,13
1994-12-24,Pearl Jam,Tremor Christ/Spin The Black Circle,100,73,18,6
1994-09-03,Joshua Kadison,Beautiful In My Eyes,47,46,19,21
1994-05-28,Eternal,Stay,83,77,19,20
1994-07-23,Bonnie Raitt,Love Sneakin' Up On You,63,56,19,20
1994-10-01,Erasure,Always,49,46,20,23
1994-08-06,Heavy D & The Boyz,Got Me Waiting,61,56,20,20
1994-11-05,Tevin Campbell,Always In My Heart,83,79,20,20
1994-11-19,Richard Marx,The Way She Loves Me,98,87,20,19
1994-12-31,Ace Of Base,Living In Danger,27,27,20,11
1994-07-16,Babyface,And Our Feelings,80,73,21,20
1994-10-22,Seal,Prayer For The Dying,45,42,21,20
1994-12-31,R.E.M.,"What's The Frequency, Kenneth?",32,25,21,15
1994-08-20,General Public,"I'll Take You There (From ""Threesome"")",78,64,22,20
1994-12-31,Bone Thugs-N-Harmony,Thuggish Ruggish Bone,39,38,22,16
1994-12-31,Corona,The Rhythm Of The Night,22,26,22,8
1994-07-23,Masta Ace Incorporated,Born To Roll,87,81,23,20
1994-12-10,Ice Cube Featuring George Clinton,Bop Gun (One Nation),78,64,23,20
1994-09-03,Celine Dion,Misled,99,92,23,19
1994-05-07,Color Me Badd,Choose,95,83,23,17
1994-12-31,Vanessa Williams,The Sweetest Days,23,23,23,8
1994-06-11,Phil Collins,Everyday,49,52,24,20
1994-12-31,Tom Petty,You Don't Know How It Feels,24,34,24,5
1994-12-24,Melissa Etheridge,Come To My Window,42,42,25,44
1994-07-23,Jodeci,Feenin',90,95,25,20
1994-12-31,Hootie & The Blowfish,Hold My Hand,25,31,25,13
1994-08-06,M.C. Hammer,Pumps And A Bump,70,74,26,20
1994-09-24,Aretha Franklin,Willing To Forgive,80,77,26,20
1994-10-08,Ahmad,Back In The Day,70,55,26,20
1994-08-13,Domino,Sweet Potatoe Pie,96,82,27,19
1994-12-31,The Notorious B.I.G.,Juicy/Unbelievable,63,61,27,19
1995-12-30,TLC,Waterfalls,44,43,1,30
1995-09-09,Montell Jordan,This Is How We Do It,48,49,1,29
1995-12-30,Seal,Kiss From A Rose,25,22,1,28
1995-09-23,Bryan Adams,Have You Ever Really Loved A Woman?,44,43,1,24
1995-12-30,Coolio Featuring L.V.,"Gangsta's Paradise (From ""Dangerous Minds"")",4,4,1,20
1995-12-30,Michael Jackson,You Are Not Alone,57,54,1,18
1995-12-30,Mariah Carey,Fantasy,6,5,1,14
1995-12-30,Whitney Houston,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",2,2,1,6
1995-12-30,Mariah Carey & Boyz II Men,One Sweet Day,1,1,1,5
1995-09-02,Adina Howard,Freak Like Me,46,40,2,30
1995-11-11,Monica,Don't Take It Personal (Just One Of Dem Days),37,36,2,29
1995-11-04,Boyz II Men,Water Runs Dry,50,45,2,28
1995-09-30,Nicki French,Total Eclipse Of The Heart,50,40,2,27
1995-06-24,Soul For Real,Candy Rain,43,35,2,25
1995-07-29,TLC,Red Light Special,50,48,2,22
1995-11-04,The Notorious B.I.G.,One More Chance/Stay With Me,57,54,2,20
1995-12-02,Shaggy,Boombastic/In The Summertime,47,42,3,29
1995-07-22,Real McCoy,Run Away,53,45,3,20
1995-09-16,Method Man Featuring Mary J. Blige,I'll Be There For You/You're All I Need To Get By,65,61,3,20
1995-12-30,Janet Jackson,Runaway,14,11,3,16
1995-12-30,LL Cool J,Hey Lover,3,3,3,7
1995-10-14,Dionne Farris,I Know,50,46,4,38
1995-11-25,Vanessa Williams,"Colors Of The Wind (From ""Pocahontas"")",50,46,4,23
1995-06-17,Brandy,Baby,51,40,4,20
1995-12-30,R. Kelly,You Remind Me Of Something,16,13,4,7
